N	xa	xp	xA
1	0.37	1.0	0.677
2	0.74	1.0	0.677
3	0.92	1.0	0.677
4	1.29	1.5	1.657
5	1.47	1.5	1.657
6	1.84	1.5	1.657
7	2.03	1.5	1.657
8	2.21	2.0	2.46
9	2.77	2.0	2.46
10	2.4	2.0	2.46
11	2.95	2.5	3.045
12	3.14	2.5	3.045
13	3.51	3.0	3.51
14	3.71	5.0	3.82
15	3.93	5.0	3.82
16	4.2	6.0	4.187
17	3.86	7.0	4.187
18	4.5	8.0	4.187
19	4.73	9.0	4.73
20	5.35	9.5	5.35
21	5.74	10.0	5.74
22	6.14	11.0	6.33
23	6.52	11.0	6.33
24	6.98	11.5	6.98
26	7.76	12.0	7.6
25	7.44	12.0	7.6
27	8.2	13.0	8.2
28	8.56	14.0	8.75
29	8.94	14.0	8.75
30	9.7	15.0	9.705
31	10.08	15.0	9.705
32	9.52	15.0	9.705
33	9.52	15.0	9.705
34	10.8	15.5	9.98
35	11.23	16.0	11.44
36	11.65	16.0	11.44
38	12.93	17.0	12.72
37	12.51	17.0	12.72
39	13.36	18.0	13.36
40	13.36	18.0	13.36
41	14.64	19.0	14.64
42	15.07	20.0	15.067
43	15.92	20.0	15.067
44	14.21	20.0	15.067
45	16.44	21.0	15.523
46	16.78	22.0	16.78
47	17.13	23.0	17.13
48	19.86	24.0	19.86
49	20.2	25.0	20.2
50	20.54	25.0	20.54
